1, 4, 7, 9, 15, 15, 15
1, 4, 7, 10, 14, 15, 14
2, 5, 8, 10, 15, 14, 14
2, 4, 8, 11, 15, 15, 15
2, 4, 8, 11, 14, 14, 14
2, 5, 8, 12, 15, 15, 14
3, 5, 8, 12, 15, 15, 15
2, 6, 7, 13, 15, 15, 14
1, 4, 7, 10, 14, 14, 14
3, 6, 8, 10, 15, 15, 15
2, 6, 7, 9, 15, 14, 15
3, 6, 8, 9, 14, 14, 15
2, 4, 8, 13, 15, 14, 14
1, 5, 7, 13, 14, 14, 14
2, 5, 7, 12, 15, 14, 14
1, 5, 8, 11, 15, 15, 15
1, 6, 7, 10, 15, 14, 14
3, 5, 8, 10, 15, 15, 15
3, 4, 7, 13, 15, 15, 15
2, 5, 8, 9, 15, 15, 14
3, 5, 8, 10, 15, 15, 14
